Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway,Combined_Co2
AUDI A3 Cabriolet,2.0,4,AMS-6,4WD,Gasoline,CA,small car,7.0,22,30,25,5,No,359
AUDI A3 Cabriolet,2.0,4,AMS-6,4WD,Gasoline,FA,small car,7.0,22,30,25,5,No,359
AUDI A3 Cabriolet,2.0,4,AMS-7,2WD,Gasoline,CA,small car,7.0,25,33,28,6,No,315
AUDI A3 Cabriolet,2.0,4,AMS-7,2WD,Gasoline,FA,small car,7.0,25,33,28,6,No,315
AUDI A4,2.0,4,AMS-7,4WD,Gasoline,CA,small car,5.0,24,34,27,6,No,327
AUDI A4,2.0,4,AMS-7,4WD,Gasoline,FA,small car,5.0,24,34,27,6,No,327
AUDI A4,2.0,4,Man-6,4WD,Gasoline,CA,small car,3.0,24,33,27,6,No,327
AUDI A4,2.0,4,Man-6,4WD,Gasoline,FA,small car,3.0,24,33,27,6,No,327
AUDI A4 Ultra,2.0,4,AMS-7,2WD,Gasoline,CA,small car,3.0,27,37,31,7,Yes,284
AUDI A4 Ultra,2.0,4,AMS-7,2WD,Gasoline,FA,small car,3.0,27,37,31,7,Yes,284
AUDI A5,2.0,4,AMS-7,4WD,Gasoline,CA,small car,5.0,24,34,27,6,No,327
AUDI A5,2.0,4,AMS-7,4WD,Gasoline,FA,small car,5.0,24,34,27,6,No,327
AUDI A5,2.0,4,Man-6,4WD,Gasoline,CA,small car,3.0,24,33,27,6,No,327
AUDI A5,2.0,4,Man-6,4WD,Gasoline,FA,small car,3.0,24,33,27,6,No,327
AUDI A5 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,CA,small car,5.0,24,34,27,6,No,327
AUDI A5 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,FA,small car,5.0,24,34,27,6,No,327
AUDI A5 Sportback quattro,2.0,4,AMS-7,4WD,Gasoline,CA,midsize car,5.0,24,34,27,6,No,327
AUDI A5 Sportback quattro,2.0,4,AMS-7,4WD,Gasoline,FA,midsize car,5.0,24,34,27,6,No,327
AUDI A6,2.0,4,AMS-7,2WD,Gasoline,CA,midsize car,5.0,25,34,28,6,No,311
AUDI A6,2.0,4,AMS-7,2WD,Gasoline,FA,midsize car,5.0,25,34,28,6,No,311
AUDI A6,2.0,4,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,22,31,26,5,No,347
AUDI A6,2.0,4,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,22,31,26,5,No,347
AUDI A6,3.0,6,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20,29,23,5,No,378
AUDI A6,3.0,6,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,20,29,23,5,No,378
AUDI A7,3.0,6,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20,29,23,5,No,378
AUDI A7,3.0,6,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,20,29,23,5,No,378
AUDI A8 L,3.0,6,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,19,29,22,4,No,397
AUDI A8 L,3.0,6,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,19,29,22,4,No,397
AUDI A8 L,4.0,8,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,16,26,19,3,No,466
AUDI A8 L,4.0,8,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,16,26,19,3,No,466
AUDI Q3,2.0,4,SemiAuto-6,2WD,Gasoline,FA,small car,3.0,20,28,23,5,No,380
AUDI Q3,2.0,4,SemiAuto-6,2WD,Gasoline,CA,small car,3.0,20,28,23,5,No,380
AUDI Q3,2.0,4,SemiAuto-6,4WD,Gasoline,FA,small car,3.0,20,28,23,5,No,387
AUDI Q3,2.0,4,SemiAuto-6,4WD,Gasoline,CA,small car,3.0,20,28,23,5,No,387
AUDI Q5,2.0,4,SemiAuto-7,4WD,Gasoline,CA,small SUV,3.0,23,27,25,5,No,363
AUDI Q5,2.0,4,SemiAuto-7,4WD,Gasoline,FA,small SUV,3.0,23,27,25,5,No,363
AUDI Q7,2.0,4,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3.0,19,25,21,4,No,415
AUDI Q7,2.0,4,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3.0,19,25,21,4,No,415
AUDI Q7,3.0,6,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3.0,19,25,21,4,No,419
AUDI Q7,3.0,6,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3.0,19,25,21,4,No,419
AUDI R8,5.2,10,AMS-7,2WD,Gasoline,CA,small car,1.0,14,25,18,3,No,497
AUDI R8,5.2,10,AMS-7,2WD,Gasoline,FA,small car,1.0,14,25,18,3,No,497
AUDI R8,5.2,10,AMS-7,4WD,Gasoline,CA,small car,1.0,14,22,17,3,No,531
