Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway,Combined_Co2
DODGE Charger SRT,6.2,8,Auto-8,2WD,Gasoline,FA,large car,1.0,13,22,16,2,No,546
DODGE Charger SRT,6.4,8,Auto-8,2WD,Gasoline,CA,large car,1.0,15,25,18,3,No,486
DODGE Charger SRT,6.4,8,Auto-8,2WD,Gasoline,FA,large car,1.0,15,25,18,3,No,486
DODGE Durango,3.6,6,Auto-8,2WD,Gasoline,CA,standard SUV,5.0,19,26,21,4,No,414
DODGE Durango,3.6,6,Auto-8,2WD,Gasoline,FA,standard SUV,5.0,19,26,21,4,No,414
DODGE Durango,3.6,6,Auto-8,4WD,Gasoline,CA,standard SUV,5.0,18,25,21,4,No,427
DODGE Durango,3.6,6,Auto-8,4WD,Gasoline,FA,standard SUV,5.0,18,25,21,4,No,427
DODGE Durango,5.7,8,Auto-8,2WD,Gasoline,CA,standard SUV,3.0,14,22,17,3,No,525
DODGE Durango,5.7,8,Auto-8,2WD,Gasoline,FA,standard SUV,3.0,14,22,17,3,No,525
DODGE Durango,5.7,8,Auto-8,4WD,Gasoline,CA,standard SUV,3.0,14,22,17,3,No,533
DODGE Durango,5.7,8,Auto-8,4WD,Gasoline,FA,standard SUV,3.0,14,22,17,3,No,533
DODGE Durango  SRT,6.4,8,Auto-8,4WD,Gasoline,CA,standard SUV,1.0,13,19,15,2,No,584
DODGE Durango  SRT,6.4,8,Auto-8,4WD,Gasoline,FA,standard SUV,1.0,13,19,15,2,No,584
DODGE Grand Caravan,3.6,6,Auto-6,2WD,Gasoline,CA,minivan,3.0,17,25,20,4,No,445
DODGE Grand Caravan,3.6,6,Auto-6,2WD,Gasoline,FA,minivan,3.0,17,25,20,4,No,445
DODGE Journey,2.4,4,Auto-4,2WD,Gasoline,CA,small SUV,3.0,19,25,21,4,No,420
DODGE Journey,2.4,4,Auto-4,2WD,Gasoline,FA,small SUV,3.0,19,25,21,4,No,420
DODGE Journey,3.6,6,Auto-6,4WD,Gasoline,CA,small SUV,3.0,16,24,19,3,No,470
DODGE Journey,3.6,6,Auto-6,4WD,Gasoline,FA,small SUV,3.0,16,24,19,3,No,470
FERRARI 488 Special Series Coupe,3.9,8,AutoMan-7,2WD,Gasoline,CA,small car,3.0,15,20,17,3,No,524
FERRARI 488 Special Series Coupe,3.9,8,AutoMan-7,2WD,Gasoline,FA,small car,3.0,15,20,17,3,No,524
FERRARI 488 Spider,3.9,8,AutoMan-7,2WD,Gasoline,CA,small car,3.0,15,22,18,3,No,501
FERRARI 488 Spider,3.9,8,AutoMan-7,2WD,Gasoline,CA,small car,3.0,16,22,18,3,No,495
FERRARI 488 Spider,3.9,8,AutoMan-7,2WD,Gasoline,FA,small car,3.0,15,22,18,3,No,501
FERRARI 488 Spider,3.9,8,AutoMan-7,2WD,Gasoline,FA,small car,3.0,16,22,18,3,No,495
FERRARI 488 gtb,3.9,8,AutoMan-7,2WD,Gasoline,CA,small car,3.0,15,22,18,3,No,501
FERRARI 488 gtb,3.9,8,AutoMan-7,2WD,Gasoline,CA,small car,3.0,16,22,18,3,No,495
FERRARI 488 gtb,3.9,8,AutoMan-7,2WD,Gasoline,FA,small car,3.0,15,22,18,3,No,501
FERRARI 488 gtb,3.9,8,AutoMan-7,2WD,Gasoline,FA,small car,3.0,16,22,18,3,No,495
FERRARI 812 Superfast,6.5,12,AutoMan-7,2WD,Gasoline,CA,small car,3.0,12,16,13,1,No,661
FERRARI 812 Superfast,6.5,12,AutoMan-7,2WD,Gasoline,FA,small car,3.0,12,16,13,1,No,661
FERRARI California T,3.9,8,AutoMan-7,2WD,Gasoline,CA,small car,3.0,16,23,18,3,No,487
FERRARI California T,3.9,8,AutoMan-7,2WD,Gasoline,CA,small car,3.0,16,23,19,3,No,478
FERRARI California T,3.9,8,AutoMan-7,2WD,Gasoline,FA,small car,3.0,16,23,18,3,No,487
FERRARI California T,3.9,8,AutoMan-7,2WD,Gasoline,FA,small car,3.0,16,23,19,3,No,478
FERRARI GTC4Lusso,6.3,12,AutoMan-7,4WD,Gasoline,CA,small car,3.0,12,17,13,1,No,661
FERRARI GTC4Lusso,6.3,12,AutoMan-7,4WD,Gasoline,FA,small car,3.0,12,17,13,1,No,661
FERRARI GTC4Lusso T,3.9,8,AutoMan-7,2WD,Gasoline,CA,small car,3.0,15,21,17,3,No,524
FERRARI GTC4Lusso T,3.9,8,AutoMan-7,2WD,Gasoline,FA,small car,3.0,15,21,17,3,No,524
FIAT 124 Spider,1.4,4,Auto-6,2WD,Gasoline,CA,small car,3.0,25,36,29,6,No,302
FIAT 124 Spider,1.4,4,Auto-6,2WD,Gasoline,FA,small car,3.0,25,36,29,6,No,302
FIAT 124 Spider,1.4,4,Man-6,2WD,Gasoline,CA,small car,3.0,26,35,30,7,Yes,298
FIAT 124 Spider,1.4,4,Man-6,2WD,Gasoline,FA,small car,3.0,26,35,30,7,Yes,298
FIAT 500,1.4,4,Auto-6,2WD,Gasoline,CA,small car,3.0,24,32,27,6,No,326
FIAT 500,1.4,4,Auto-6,2WD,Gasoline,FA,small car,3.0,24,32,27,6,No,326
FIAT 500,1.4,4,Man-5,2WD,Gasoline,CA,small car,3.0,28,33,30,7,Yes,292
FIAT 500,1.4,4,Man-5,2WD,Gasoline,FA,small car,3.0,28,33,30,7,Yes,292
FIAT 500 Abarth,1.4,4,Auto-6,2WD,Gasoline,CA,small car,3.0,24,32,27,6,No,326
FIAT 500 Abarth,1.4,4,Auto-6,2WD,Gasoline,FA,small car,3.0,24,32,27,6,No,326
FIAT 500 Abarth,1.4,4,Man-5,2WD,Gasoline,CA,small car,3.0,28,33,30,7,Yes,292
FIAT 500 Abarth,1.4,4,Man-5,2WD,Gasoline,FA,small car,3.0,28,33,30,7,Yes,292
FIAT 500L,1.4,4,Auto-6,2WD,Gasoline,CA,station wagon,3.0,22,30,25,5,No,356
FIAT 500L,1.4,4,Auto-6,2WD,Gasoline,FA,station wagon,3.0,22,30,25,5,No,356
FIAT 500X,1.4,4,Man-6,2WD,Gasoline,CA,small SUV,3.0,25,33,28,6,No,317
FIAT 500X,1.4,4,Man-6,2WD,Gasoline,FA,small SUV,3.0,25,33,28,6,No,317
FIAT 500X,2.4,4,Auto-9,2WD,Gasoline,CA,small SUV,7.0,22,30,25,5,No,354
FIAT 500X,2.4,4,Auto-9,2WD,Gasoline,FA,small SUV,7.0,22,30,25,5,No,354
FIAT 500X,2.4,4,Auto-9,4WD,Gasoline,CA,small SUV,7.0,21,29,24,5,No,364
FIAT 500X,2.4,4,Auto-9,4WD,Gasoline,FA,small SUV,7.0,21,29,24,5,No,364
FORD C-MAX Hybrid,2.0,4,CVT,2WD,Gasoline,CA,large car,7.0,42,38,40,9,Yes,222
FORD C-MAX Hybrid,2.0,4,CVT,2WD,Gasoline,FA,large car,7.0,42,38,40,9,Yes,222
FORD EcoSport,1.0,3,SemiAuto-6,2WD,Gasoline,CA,small SUV,3.0,27,29,28,6,No,314
FORD EcoSport,1.0,3,SemiAuto-6,2WD,Gasoline,FA,small SUV,3.0,27,29,28,6,No,314
FORD EcoSport,2.0,4,SemiAuto-6,4WD,Gasoline,CA,small SUV,5.0,23,29,25,5,No,353
FORD EcoSport,2.0,4,SemiAuto-6,4WD,Gasoline,FA,small SUV,5.0,23,29,25,5,No,353
FORD Edge,2.0,4,SemiAuto-6,2WD,Gasoline,CA,small SUV,5.0,20,29,24,5,No,370
FORD Edge,2.0,4,SemiAuto-6,2WD,Gasoline,CA,small SUV,5.0,21,29,24,5,No,372
FORD Edge,2.0,4,SemiAuto-6,2WD,Gasoline,FA,small SUV,5.0,20,29,24,5,No,370
FORD Edge,2.0,4,SemiAuto-6,2WD,Gasoline,FA,small SUV,5.0,21,29,24,5,No,372
FORD Edge,2.0,4,SemiAuto-6,4WD,Gasoline,CA,small SUV,5.0,20,27,23,5,No,394
FORD Edge,2.0,4,SemiAuto-6,4WD,Gasoline,FA,small SUV,5.0,20,27,23,5,No,394
FORD Edge,2.7,6,SemiAuto-6,4WD,Gasoline,CA,small SUV,5.0,17,24,20,4,No,453
FORD Edge,2.7,6,SemiAuto-6,4WD,Gasoline,FA,small SUV,5.0,17,24,20,4,No,453
FORD Edge,3.5,6,SemiAuto-6,2WD,Gasoline,CA,small SUV,3.0,17,26,20,4,No,435
FORD Edge,3.5,6,SemiAuto-6,2WD,Gasoline,FA,small SUV,3.0,17,26,20,4,No,435
FORD Edge,3.5,6,SemiAuto-6,4WD,Gasoline,CA,small SUV,3.0,17,23,19,3,No,467
FORD Edge,3.5,6,SemiAuto-6,4WD,Gasoline,FA,small SUV,3.0,17,23,19,3,No,467
FORD Escape,1.5,4,SemiAuto-6,2WD,Gasoline,CA,small SUV,3.0,23,30,26,5,No,342
FORD Escape,1.5,4,SemiAuto-6,2WD,Gasoline,FA,small SUV,3.0,23,30,26,5,No,342
FORD Escape,1.5,4,SemiAuto-6,4WD,Gasoline,CA,small SUV,3.0,22,28,24,5,No,370
FORD Escape,1.5,4,SemiAuto-6,4WD,Gasoline,FA,small SUV,3.0,22,28,24,5,No,370
FORD Escape,2.0,4,SemiAuto-6,2WD,Gasoline,CA,small SUV,5.0,21,28,24,5,No,372
FORD Escape,2.0,4,SemiAuto-6,2WD,Gasoline,FA,small SUV,5.0,21,28,24,5,No,372
FORD Escape,2.0,4,SemiAuto-6,4WD,Gasoline,CA,small SUV,5.0,20,27,23,5,No,387
FORD Escape,2.0,4,SemiAuto-6,4WD,Gasoline,FA,small SUV,5.0,20,27,23,5,No,387
FORD Escape,2.5,4,SemiAuto-6,2WD,Gasoline,CA,small SUV,3.0,21,29,24,5,No,369
FORD Escape,2.5,4,SemiAuto-6,2WD,Gasoline,FA,small SUV,3.0,21,29,24,5,No,369
FORD Expedition,3.5,6,SemiAuto-10,2WD,Gasoline,CA,standard SUV,5.0,17,24,20,4,No,441
FORD Expedition,3.5,6,SemiAuto-10,2WD,Gasoline,FA,standard SUV,5.0,17,24,20,4,No,441
FORD Expedition,3.5,6,SemiAuto-10,4WD,Gasoline,CA,standard SUV,5.0,17,22,19,3,No,466
FORD Expedition,3.5,6,SemiAuto-10,4WD,Gasoline,FA,standard SUV,5.0,17,22,19,3,No,466
FORD Expedition MAX,3.5,6,SemiAuto-10,2WD,Gasoline,CA,standard SUV,5.0,17,23,19,3,No,464
FORD Expedition MAX,3.5,6,SemiAuto-10,2WD,Gasoline,FA,standard SUV,5.0,17,23,19,3,No,464
FORD Expedition MAX,3.5,6,SemiAuto-10,4WD,Gasoline,CA,standard SUV,5.0,16,21,18,3,No,494
FORD Expedition MAX,3.5,6,SemiAuto-10,4WD,Gasoline,FA,standard SUV,5.0,16,21,18,3,No,494
FORD Explorer,2.3,4,SemiAuto-6,2WD,Gasoline,FA,standard SUV,3.0,19,27,22,4,No,409
FORD Explorer,2.3,4,SemiAuto-6,2WD,Gasoline,CA,standard SUV,3.0,19,27,22,4,No,409
FORD Explorer,2.3,4,SemiAuto-6,4WD,Gasoline,FA,standard SUV,3.0,18,25,21,4,No,429
FORD Explorer,2.3,4,SemiAuto-6,4WD,Gasoline,CA,standard SUV,3.0,18,25,21,4,No,429
FORD Explorer,3.5,6,SemiAuto-6,2WD,Gasoline,FA,standard SUV,3.0,17,24,20,4,No,453
FORD Explorer,3.5,6,SemiAuto-6,2WD,Gasoline,CA,standard SUV,3.0,17,24,20,4,No,453
FORD Explorer,3.5,6,SemiAuto-6,4WD,Gasoline,FA,standard SUV,3.0,16,22,18,3,No,486
FORD Explorer,3.5,6,SemiAuto-6,4WD,Gasoline,CA,standard SUV,3.0,16,22,18,3,No,486
FORD Explorer,3.5,6,SemiAuto-6,4WD,Gasoline,FA,standard SUV,3.0,16,22,19,3,No,480
FORD Explorer,3.5,6,SemiAuto-6,4WD,Gasoline,CA,standard SUV,3.0,16,22,19,3,No,480
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,19,25,21,4,No,420
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,20,25,22,4,No,401
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,20,26,22,4,No,401
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,19,25,21,4,No,420
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,20,25,22,4,No,401
FORD F150,2.7,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,20,26,22,4,No,401
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,CA,pickup,5.0,18,23,20,4,No,444
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,CA,pickup,5.0,19,24,21,4,No,423
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,FA,pickup,5.0,18,23,20,4,No,444
FORD F150,2.7,6,SemiAuto-10,4WD,Gasoline,FA,pickup,5.0,19,24,21,4,No,423
FORD F150,3.0,6,SemiAuto-10,2WD,Diesel,CA,pickup,1.0,22,28,24,4,No,424
FORD F150,3.0,6,SemiAuto-10,2WD,Diesel,CA,pickup,1.0,22,30,25,4,No,412
FORD F150,3.0,6,SemiAuto-10,2WD,Diesel,FA,pickup,1.0,22,28,24,4,No,424
FORD F150,3.0,6,SemiAuto-10,2WD,Diesel,FA,pickup,1.0,22,30,25,4,No,412
FORD F150,3.0,6,SemiAuto-10,4WD,Diesel,CA,pickup,1.0,20,25,22,3,No,463
FORD F150,3.0,6,SemiAuto-10,4WD,Diesel,FA,pickup,1.0,20,25,22,3,No,463
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,CA,pickup,5.0,19,24,21,4,No,423
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,CA,pickup,5.0,19,25,22,4,No,410
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,FA,pickup,5.0,19,24,21,4,No,423
FORD F150,3.3,6,SemiAuto-6,2WD,Gasoline,FA,pickup,5.0,19,25,22,4,No,410
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,CA,pickup,5.0,17,22,19,3,No,468
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,CA,pickup,5.0,18,23,20,4,No,442
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,FA,pickup,5.0,17,22,19,3,No,468
FORD F150,3.3,6,SemiAuto-6,4WD,Gasoline,FA,pickup,5.0,18,23,20,4,No,442
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,17,21,19,3,No,466
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,17,22,19,3,No,466
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,CA,pickup,5.0,18,25,21,4,No,426
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,17,21,19,3,No,466
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,17,22,19,3,No,466
FORD F150,3.5,6,SemiAuto-10,2WD,Gasoline,FA,pickup,5.0,18,25,21,4,No,426
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,CA,pickup,5.0,16,21,18,3,No,494
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,CA,pickup,5.0,17,22,19,3,No,468
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,CA,pickup,5.0,17,23,19,3,No,470
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,FA,pickup,5.0,16,21,18,3,No,494
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,FA,pickup,5.0,17,22,19,3,No,468
FORD F150,3.5,6,SemiAuto-10,4WD,Gasoline,FA,pickup,5.0,17,23,19,3,No,470
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,CA,pickup,3.0,16,20,17,3,No,522
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,CA,pickup,3.0,16,21,18,3,No,493
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,CA,pickup,3.0,17,23,19,3,No,463
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,FA,pickup,3.0,16,20,17,3,No,522
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,FA,pickup,3.0,16,21,18,3,No,493
FORD F150,5.0,8,SemiAuto-10,2WD,Gasoline,FA,pickup,3.0,17,23,19,3,No,463
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,CA,pickup,3.0,15,19,17,3,No,523
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,CA,pickup,3.0,16,20,17,3,No,523
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,CA,pickup,3.0,16,22,18,3,No,485
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,FA,pickup,3.0,15,19,17,3,No,523
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,FA,pickup,3.0,16,20,17,3,No,523
FORD F150,5.0,8,SemiAuto-10,4WD,Gasoline,FA,pickup,3.0,16,22,18,3,No,485
FORD F150 Raptor,3.5,6,SemiAuto-10,4WD,Gasoline,CA,pickup,3.0,15,18,16,2,No,546
FORD F150 Raptor,3.5,6,SemiAuto-10,4WD,Gasoline,FA,pickup,3.0,15,18,16,2,No,546
FORD F150 XL/XLT,3.0,6,SemiAuto-10,4WD,Diesel,CA,pickup,1.0,21,28,24,4,No,424
FORD F150 XL/XLT,3.0,6,SemiAuto-10,4WD,Diesel,FA,pickup,1.0,21,28,24,4,No,424
FORD Fiesta,1.6,4,AMS-6,2WD,Gasoline,CA,small car,3.0,27,37,31,7,Yes,286
FORD Fiesta,1.6,4,AMS-6,2WD,Gasoline,FA,small car,3.0,27,37,31,7,Yes,286
FORD Fiesta,1.6,4,Man-5,2WD,Gasoline,CA,small car,3.0,27,35,30,7,Yes,293
FORD Fiesta,1.6,4,Man-5,2WD,Gasoline,FA,small car,3.0,27,35,30,7,Yes,293
FORD Fiesta ST,1.6,4,Man-6,2WD,Gasoline,CA,small car,3.0,26,33,29,6,No,308
FORD Fiesta ST,1.6,4,Man-6,2WD,Gasoline,FA,small car,3.0,26,33,29,6,No,308
FORD Flex,3.5,6,SemiAuto-6,2WD,Gasoline,FA,standard SUV,3.0,16,23,19,3,No,468
FORD Flex,3.5,6,SemiAuto-6,2WD,Gasoline,CA,standard SUV,3.0,16,23,19,3,No,468
FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,FA,standard SUV,3.0,15,21,17,3,No,523
FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,CA,standard SUV,3.0,15,21,17,3,No,523
FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,FA,standard SUV,3.0,16,22,18,3,No,494
FORD Flex,3.5,6,SemiAuto-6,4WD,Gasoline,CA,standard SUV,3.0,16,22,18,3,No,494
FORD Focus,1.0,3,Man-6,2WD,Gasoline,FA,small car,3.0,30,40,34,8,Yes,264
FORD Focus,1.0,3,Man-6,2WD,Gasoline,CA,small car,3.0,30,40,34,8,Yes,264
FORD Focus,1.0,3,SemiAuto-6,2WD,Gasoline,FA,small car,3.0,27,38,31,7,Yes,286
FORD Focus,1.0,3,SemiAuto-6,2WD,Gasoline,CA,small car,3.0,27,38,31,7,Yes,286
FORD Focus,2.0,4,AMS-6,2WD,Gasoline,CA,small car,7.0,24,34,28,6,No,321
FORD Focus,2.0,4,AMS-6,2WD,Gasoline,FA,small car,7.0,24,34,28,6,No,321
FORD Focus,2.0,4,AutoMan-6,2WD,Gasoline,CA,small car,7.0,26,38,31,7,Yes,289
FORD Focus,2.0,4,AutoMan-6,2WD,Gasoline,FA,small car,7.0,26,38,31,7,Yes,289
FORD Focus,2.0,4,Man-5,2WD,Gasoline,CA,small car,7.0,25,34,28,6,No,316
FORD Focus,2.0,4,Man-5,2WD,Gasoline,FA,small car,7.0,25,34,28,6,No,316
FORD Focus RS,2.3,4,Man-6,4WD,Gasoline,FA,midsize car,3.0,19,26,22,4,No,402
FORD Focus RS,2.3,4,Man-6,4WD,Gasoline,CA,midsize car,3.0,19,26,22,4,No,402
FORD Focus ST,2.0,4,Man-6,2WD,Gasoline,FA,midsize car,3.0,22,30,25,5,No,356
FORD Focus ST,2.0,4,Man-6,2WD,Gasoline,CA,midsize car,3.0,22,30,25,5,No,356
FORD Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,CA,midsize car,7.0,23,34,27,6,No,327
FORD Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,FA,midsize car,7.0,23,34,27,6,No,327
FORD Fusion,2.0,4,SemiAuto-6,2WD,Gasoline,CA,midsize car,5.0,21,31,25,5,No,362
FORD Fusion,2.0,4,SemiAuto-6,2WD,Gasoline,FA,midsize car,5.0,21,31,25,5,No,362
FORD Fusion,2.0,4,SemiAuto-6,4WD,Gasoline,CA,midsize car,5.0,20,29,23,5,No,385
FORD Fusion,2.0,4,SemiAuto-6,4WD,Gasoline,FA,midsize car,5.0,20,29,23,5,No,385
FORD Fusion,2.5,4,Auto-6,2WD,Gasoline,CA,midsize car,5.0,21,32,25,5,No,360
FORD Fusion,2.5,4,Auto-6,2WD,Gasoline,FA,midsize car,5.0,21,32,25,5,No,360
FORD Fusion,2.7,6,SemiAuto-6,4WD,Gasoline,CA,midsize car,5.0,17,26,20,4,No,444
FORD Fusion,2.7,6,SemiAuto-6,4WD,Gasoline,FA,midsize car,5.0,17,26,20,4,No,444
FORD Fusion Hybrid,2.0,4,CVT,2WD,Gasoline,CA,midsize car,7.0,43,41,42,9,Yes,211
FORD Fusion Hybrid,2.0,4,CVT,2WD,Gasoline,FA,midsize car,7.0,43,41,42,9,Yes,211
FORD GT,3.5,6,AutoMan-7,2WD,Gasoline,CA,small car,3.0,11,18,14,1,No,653
FORD GT,3.5,6,AutoMan-7,2WD,Gasoline,FA,small car,3.0,11,18,14,1,No,653
FORD Mustang,2.3,4,Man-6,2WD,Gasoline,CA,small car,5.0,21,31,25,5,No,357
FORD Mustang,2.3,4,Man-6,2WD,Gasoline,FA,small car,5.0,21,31,25,5,No,357
FORD Mustang,2.3,4,SemiAuto-10,2WD,Gasoline,CA,small car,5.0,21,32,25,5,No,353
FORD Mustang,2.3,4,SemiAuto-10,2WD,Gasoline,FA,small car,5.0,21,32,25,5,No,353
FORD Mustang,5.0,8,Man-6,2WD,Gasoline,CA,small car,3.0,15,25,18,3,No,483
FORD Mustang,5.0,8,Man-6,2WD,Gasoline,FA,small car,3.0,15,25,18,3,No,483
FORD Mustang,5.0,8,SemiAuto-10,2WD,Gasoline,CA,small car,3.0,16,25,19,3,No,468
FORD Mustang,5.0,8,SemiAuto-10,2WD,Gasoline,FA,small car,3.0,16,25,19,3,No,468
FORD Mustang Convertible,2.3,4,Man-6,2WD,Gasoline,CA,small car,5.0,20,28,23,5,No,383
FORD Mustang Convertible,2.3,4,Man-6,2WD,Gasoline,FA,small car,5.0,20,28,23,5,No,383
FORD Mustang Convertible,2.3,4,SemiAuto-10,2WD,Gasoline,CA,small car,5.0,20,29,23,5,No,384
FORD Mustang Convertible,2.3,4,SemiAuto-10,2WD,Gasoline,FA,small car,5.0,20,29,23,5,No,384
FORD Mustang Convertible,5.0,8,SemiAuto-10,2WD,Gasoline,CA,small car,3.0,15,24,18,3,No,490
FORD Mustang Convertible,5.0,8,SemiAuto-10,2WD,Gasoline,FA,small car,3.0,15,24,18,3,No,490
FORD Mustang Performance Package,2.3,4,Man-6,2WD,Gasoline,CA,small car,5.0,20,28,23,5,No,383
FORD Mustang Performance Package,2.3,4,Man-6,2WD,Gasoline,FA,small car,5.0,20,28,23,5,No,383
FORD Mustang Performance Package,2.3,4,SemiAuto-10,2WD,Gasoline,CA,small car,5.0,20,29,23,5,No,384
FORD Mustang Performance Package,2.3,4,SemiAuto-10,2WD,Gasoline,FA,small car,5.0,20,29,23,5,No,384
FORD Shelby GT350 Mustang,5.2,8,Man-6,2WD,Gasoline,FA,small car,3.0,14,21,16,2,No,549
FORD Shelby GT350 Mustang,5.2,8,Man-6,2WD,Gasoline,CA,small car,3.0,14,21,16,2,No,549
FORD Taurus,3.5,6,SemiAuto-6,2WD,Gasoline,FA,large car,3.0,18,27,21,4,No,423
FORD Taurus,3.5,6,SemiAuto-6,2WD,Gasoline,CA,large car,3.0,18,27,21,4,No,423
FORD Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,FA,large car,3.0,16,24,19,3,No,471
FORD Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,CA,large car,3.0,16,24,19,3,No,471
FORD Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,FA,large car,3.0,17,24,19,3,No,467
FORD Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,CA,large car,3.0,17,24,19,3,No,467
FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,CA,special purpose,3.0,19,27,22,4,No,404
FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,CA,special purpose,3.0,20,27,23,5,No,392
FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,FA,special purpose,3.0,19,27,22,4,No,404
FORD Transit Connect,2.5,4,SemiAuto-6,2WD,Gasoline,FA,special purpose,3.0,20,27,23,5,No,392
FORD Transit T150,3.5,6,SemiAuto-6,2WD,Gasoline,CA,van,1.0,15,18,16,2,No,555
FORD Transit T150,3.5,6,SemiAuto-6,2WD,Gasoline,FA,van,1.0,15,18,16,2,No,555
FORD Transit T150,3.7,6,SemiAuto-6,2WD,Gasoline,CA,van,1.0,14,18,16,2,No,570
FORD Transit T150,3.7,6,SemiAuto-6,2WD,Gasoline,FA,van,1.0,14,18,16,2,No,570
GENESIS G80,3.3,6,SemiAuto-8,2WD,Gasoline,CA,large car,3.0,17,25,20,4,No,442
GENESIS G80,3.3,6,SemiAuto-8,2WD,Gasoline,FA,large car,3.0,17,25,20,4,No,442
GENESIS G80,3.3,6,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,17,24,20,4,No,453
GENESIS G80,3.3,6,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,17,24,20,4,No,453
GENESIS G80,3.8,6,SemiAuto-8,2WD,Gasoline,CA,large car,5.0,19,27,22,4,No,414
GENESIS G80,3.8,6,SemiAuto-8,2WD,Gasoline,FA,large car,5.0,19,27,22,4,No,414
GENESIS G80,3.8,6,SemiAuto-8,4WD,Gasoline,CA,large car,5.0,18,25,20,4,No,445
GENESIS G80,3.8,6,SemiAuto-8,4WD,Gasoline,FA,large car,5.0,18,25,20,4,No,445
GENESIS G80,5.0,8,SemiAuto-8,2WD,Gasoline,CA,large car,5.0,16,24,19,3,No,474
GENESIS G80,5.0,8,SemiAuto-8,2WD,Gasoline,FA,large car,5.0,16,24,19,3,No,474
GENESIS G80,5.0,8,SemiAuto-8,4WD,Gasoline,CA,large car,5.0,15,23,18,3,No,503
GENESIS G80,5.0,8,SemiAuto-8,4WD,Gasoline,FA,large car,5.0,15,23,18,3,No,503
GENESIS G90,3.3,6,SemiAuto-8,2WD,Gasoline,FA,large car,3.0,17,24,20,4,No,454
GENESIS G90,3.3,6,SemiAuto-8,2WD,Gasoline,CA,large car,3.0,17,24,20,4,No,454
GENESIS G90,3.3,6,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,17,24,20,4,No,448
GENESIS G90,3.3,6,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,17,24,20,4,No,448
GENESIS G90,5.0,8,SemiAuto-8,2WD,Gasoline,CA,large car,5.0,16,24,19,3,No,482
GENESIS G90,5.0,8,SemiAuto-8,2WD,Gasoline,FA,large car,5.0,16,24,19,3,No,482
